CompositeProgramName,CompositeCompositeID,CompositeStationName,CompositeStationCode,CompositeTargetLatitude,CompositeTargetLongitude,CompositeSampleDate,CompositeFinalID,NumberFishPerComp,CompositeTissueName,Analyte,Unit,Result,WeightAvg g,TLMin mm,TLMax mm,TLAvgLength mm,SexSummary,LatestDateSampled,SampleID
Surface Water Ambient Monitoring Program,1/1/1977-541ST1478-1947-WHL,San Joaquin River at Los Banos-541ST1478,541ST1478,37.0581,-120.561,1/1/77,Morone saxatilis,3,whole organism,"Chlordane, cis-, Total",ng/g ww,20,400,330,330,330,"Unk (0), M (0), F (0)",1/1/77,1/1/1977-541ST1478-1947
Surface Water Ambient Monitoring Program,1/1/1977-541ST1478-1947-WHL,San Joaquin River at Los Banos-541ST1478,541ST1478,37.0581,-120.561,1/1/77,Morone saxatilis,3,whole organism,"Chlordane, trans-, Total",ng/g ww,0,400,330,330,330,"Unk (0), M (0), F (0)",1/1/77,1/1/1977-541ST1478-1947
Surface Water Ambient Monitoring Program,1/1/1977-541ST1478-1947-WHL,San Joaquin River at Los Banos-541ST1478,541ST1478,37.0581,-120.561,1/1/77,Morone saxatilis,3,whole organism,"DDD(p,p'), Total",ng/g ww,60,400,330,330,330,"Unk (0), M (0), F (0)",1/1/77,1/1/1977-541ST1478-1947
Surface Water Ambient Monitoring Program,1/1/1977-541ST1478-1947-WHL,San Joaquin River at Los Banos-541ST1478,541ST1478,37.0581,-120.561,1/1/77,Morone saxatilis,3,whole organism,"DDE(p,p'), Total",ng/g ww,160,400,330,330,330,"Unk (0), M (0), F (0)",1/1/77,1/1/1977-541ST1478-1947
Surface Water Ambient Monitoring Program,1/1/1977-541ST1478-1947-WHL,San Joaquin River at Los Banos-541ST1478,541ST1478,37.0581,-120.561,1/1/77,Morone saxatilis,3,whole organism,"DDT(p,p'), Total",ng/g ww,0,400,330,330,330,"Unk (0), M (0), F (0)",1/1/77,1/1/1977-541ST1478-1947
Surface Water Ambient Monitoring Program,1/1/1977-541ST1478-1947-WHL,San Joaquin River at Los Banos-541ST1478,541ST1478,37.0581,-120.561,1/1/77,Morone saxatilis,3,whole organism,"Dieldrin, Total",ng/g ww,10,400,330,330,330,"Unk (0), M (0), F (0)",1/1/77,1/1/1977-541ST1478-1947
Surface Water Ambient Monitoring Program,1/1/1977-541ST1478-1947-WHL,San Joaquin River at Los Banos-541ST1478,541ST1478,37.0581,-120.561,1/1/77,Morone saxatilis,3,whole organism,"Endrin, Total",ng/g ww,0,400,330,330,330,"Unk (0), M (0), F (0)",1/1/77,1/1/1977-541ST1478-1947
Surface Water Ambient Monitoring Program,1/1/1977-541ST1478-1947-WHL,San Joaquin River at Los Banos-541ST1478,541ST1478,37.0581,-120.561,1/1/77,Morone saxatilis,3,whole organism,"Heptachlor, Total",ng/g ww,0,400,330,330,330,"Unk (0), M (0), F (0)",1/1/77,1/1/1977-541ST1478-1947
Surface Water Ambient Monitoring Program,1/1/1977-541ST1478-1947-WHL,San Joaquin River at Los Banos-541ST1478,541ST1478,37.0581,-120.561,1/1/77,Morone saxatilis,3,whole organism,"Hexachlorobenzene, Total",ng/g ww,0,400,330,330,330,"Unk (0), M (0), F (0)",1/1/77,1/1/1977-541ST1478-1947
Surface Water Ambient Monitoring Program,1/1/1977-541ST1478-1947-WHL,San Joaquin River at Los Banos-541ST1478,541ST1478,37.0581,-120.561,1/1/77,Morone saxatilis,3,whole organism,"Lipid, Total",% ww,7,400,330,330,330,"Unk (0), M (0), F (0)",1/1/77,1/1/1977-541ST1478-1947
